symbol,name,exchange,fee,network,price_usd,krw_fee
BTC,비트코인,Upbit,0.0008,,82622,99146.40000000001
ETH,이더리움,Upbit,0.009,,1817.64,24538.14
XRP,리플,Upbit,0.4,,2.14,1284.0
USDT,테더,Upbit,0,,0.99961,0.0
SOL,솔라나,Upbit,0.015,,125.33,2819.9249999999997
ADA,카르다노,Upbit,1,,0.669836,1004.754
DOGE,도지코인,Upbit,2,,0.169259,507.777
LINK,체인링크,Upbit,0.25,,13.6,5100.0
DOT,폴카닷,Upbit,0.14,,4.08,856.8000000000001
AVAX,아발란체,Upbit,0.005,,19.18,143.85
MATIC,폴리곤,Upbit,1.5,,0.203843,458.64675
SHIB,시바이누,Upbit,32000,,1.255e-05,602.4000000000001
TRX,트론,Upbit,2,,0.232176,696.528
ATOM,코스모스,Upbit,0.015,,4.3,96.75
XLM,스텔라루멘,Upbit,0.1,,0.269132,40.3698
VET,비체인,Upbit,30,,0.02285314,1028.3913
NEAR,니어프로토콜,Upbit,0.04,,2.63,157.8
ALGO,알고랜드,Upbit,0.1,,0.182011,27.301650000000002
ETC,이더리움클래식,Upbit,0.1,,16.63,2494.5
XTZ,테조스,Upbit,0.05,,0.654854,49.114050000000006
NEO,NEO,Upbit,0.01,,5.99,89.85000000000001
MTL,MTL,Upbit,0.01,,0,0.0
SNT,SNT,Upbit,0.01,,0,0.0
WAVES,WAVES,Upbit,0.01,,0,0.0
XEM,XEM,Upbit,0.01,,0,0.0
QTUM,QTUM,Upbit,0.1,,0,0.0
LSK,LSK,Upbit,0.01,,0,0.0
STEEM,STEEM,Upbit,0.01,,0,0.0
ARDR,ARDR,Upbit,0.01,,0,0.0
ARK,ARK,Upbit,0.01,,0,0.0
STORJ,STORJ,Upbit,0.01,,0,0.0
GRS,GRS,Upbit,0.01,,0,0.0
POWR,POWR,Upbit,0.01,,0,0.0
ICX,ICX,Upbit,0.01,,0,0.0
EOS,EOS,Upbit,0.01,,0.590895,8.863425
SC,SC,Upbit,0.01,,0,0.0
ONT,ONT,Upbit,0.01,,0,0.0
ZIL,ZIL,Upbit,0.2,,0.01123304,3.3699120000000002
POLYX,POLYX,Upbit,0.01,,0,0.0
ZRX,ZRX,Upbit,0.01,,0,0.0
LOOM,LOOM,Upbit,0.01,,0,0.0
BCH,BCH,Upbit,0.01,,302.49,4537.35
BAT,BAT,Upbit,0.2,,0,0.0
IOST,IOST,Upbit,0.01,,0,0.0
CVC,CVC,Upbit,0.01,,0,0.0
IQ,IQ,Upbit,0.01,,0,0.0
IOTA,IOTA,Upbit,0.01,,0.172939,2.594085
HIFI,HIFI,Upbit,0.01,,0,0.0
ONG,ONG,Upbit,0.01,,0,0.0
GAS,GAS,Upbit,0.01,,0,0.0
BOUNTY,BOUNTY,Upbit,0.01,,0,0.0
ELF,ELF,Upbit,0.01,,0,0.0
KNC,KNC,Upbit,0.01,,0,0.0
BSV,BSV,Upbit,0.01,,31.94,479.1
THETA,THETA,Upbit,0.01,,0.821515,12.322725
