symbol,name,exchange,fee,network,price_usd,krw_fee
BTC,비트코인,Upbit,0.0008,,82241,98689.20000000001
ETH,이더리움,Upbit,0.009,,1814.38,24494.129999999997
XRP,리플,Upbit,0.4,,2.08,1248.0
USDT,테더,Upbit,0,,1.002,0.0
SOL,솔라나,Upbit,0.015,,124.6,2803.5
ADA,카르다노,Upbit,1,,0.643855,965.7824999999999
DOGE,도지코인,Upbit,2,,0.163403,490.209
LINK,체인링크,Upbit,0.25,,13.23,4961.25
DOT,폴카닷,Upbit,0.14,,4.03,846.3000000000001
AVAX,아발란체,Upbit,0.005,,18.68,140.1
MATIC,폴리곤,Upbit,1.5,,0.203699,458.32275
SHIB,시바이누,Upbit,32000,,1.217e-05,584.16
TRX,트론,Upbit,2,,0.233652,700.956
ATOM,코스모스,Upbit,0.015,,4.29,96.52499999999999
XLM,스텔라루멘,Upbit,0.1,,0.265127,39.76905
VET,비체인,Upbit,30,,0.022489,1012.005
NEAR,니어프로토콜,Upbit,0.04,,2.54,152.4
ALGO,알고랜드,Upbit,0.1,,0.17705,26.557500000000005
ETC,이더리움클래식,Upbit,0.1,,16.69,2503.5000000000005
XTZ,테조스,Upbit,0.05,,0.648193,48.614475
NEO,NEO,Upbit,0.01,,5.01,75.15
MTL,MTL,Upbit,0.01,,0,0.0
SNT,SNT,Upbit,0.01,,0,0.0
WAVES,WAVES,Upbit,0.01,,0,0.0
XEM,XEM,Upbit,0.01,,0,0.0
QTUM,QTUM,Upbit,0.1,,0,0.0
LSK,LSK,Upbit,0.01,,0,0.0
STEEM,STEEM,Upbit,0.01,,0,0.0
ARDR,ARDR,Upbit,0.01,,0,0.0
ARK,ARK,Upbit,0.01,,0,0.0
STORJ,STORJ,Upbit,0.01,,0,0.0
GRS,GRS,Upbit,0.01,,0,0.0
POWR,POWR,Upbit,0.01,,0,0.0
ICX,ICX,Upbit,0.01,,0,0.0
EOS,EOS,Upbit,0.01,,0.632193,9.482895
SC,SC,Upbit,0.01,,0,0.0
ONT,ONT,Upbit,0.01,,0,0.0
ZIL,ZIL,Upbit,0.2,,0.01117505,3.3525150000000004
POLYX,POLYX,Upbit,0.01,,0,0.0
ZRX,ZRX,Upbit,0.01,,0,0.0
LOOM,LOOM,Upbit,0.01,,0,0.0
BCH,BCH,Upbit,0.01,,299.15,4487.249999999999
BAT,BAT,Upbit,0.2,,0,0.0
IOST,IOST,Upbit,0.01,,0,0.0
CVC,CVC,Upbit,0.01,,0,0.0
IQ,IQ,Upbit,0.01,,0,0.0
IOTA,IOTA,Upbit,0.01,,0.168033,2.520495
HIFI,HIFI,Upbit,0.01,,0,0.0
ONG,ONG,Upbit,0.01,,0,0.0
GAS,GAS,Upbit,0.01,,0,0.0
BOUNTY,BOUNTY,Upbit,0.01,,0,0.0
ELF,ELF,Upbit,0.01,,0,0.0
KNC,KNC,Upbit,0.01,,0,0.0
BSV,BSV,Upbit,0.01,,31.37,470.55
THETA,THETA,Upbit,0.01,,0.807815,12.117225
QKC,QKC,Upbit,0.01,,0,0.0
BTT,BTT,Upbit,0.01,,6.58463e-07,9.876944999999998e-06
MOC,MOC,Upbit,0.01,,0,0.0
TFUEL,TFUEL,Upbit,0.01,,0.03435634,0.5153451
MANA,MANA,Upbit,0.1,,0.244769,36.71535
ANKR,ANKR,Upbit,0.01,,0,0.0
AERGO,AERGO,Upbit,0.01,,0,0.0
TT,TT,Upbit,0.01,,0,0.0
GAME2,GAME2,Upbit,0.01,,0,0.0
MBL,MBL,Upbit,0.01,,0,0.0
WAXP,WAXP,Upbit,0.01,,0,0.0
HBAR,HBAR,Upbit,0.01,,0.159977,2.399655
MED,MED,Upbit,0.01,,0,0.0
MLK,MLK,Upbit,0.01,,0,0.0
STPT,STPT,Upbit,0.01,,0,0.0
ORBS,ORBS,Upbit,0.01,,0,0.0
CHZ,CHZ,Upbit,0.2,,0.04188279,12.564837000000002
STMX,STMX,Upbit,0.01,,0,0.0
DKA,DKA,Upbit,0.01,,0,0.0
HIVE,HIVE,Upbit,0.01,,0,0.0
KAVA,KAVA,Upbit,0.2,,0.428158,128.4474
AHT,AHT,Upbit,0.01,,0,0.0
BORA,BORA,Upbit,0.01,,0,0.0
JST,JST,Upbit,0.01,,0.03061926,0.45928889999999994
CRO,CRO,Upbit,0.2,,0.098916,29.6748
TOKAMAK,TOKAMAK,Upbit,0.01,,0,0.0
SXP,SXP,Upbit,0.01,,0,0.0
HUNT,HUNT,Upbit,0.01,,0,0.0
MVL,MVL,Upbit,0.01,,0,0.0
STRAX,STRAX,Upbit,0.01,,0,0.0
AQT,AQT,Upbit,0.01,,0,0.0
